obd.time,obd.trip,obd.ecu,obd.temp,obd.rpm,obd.vss,obd.throttlepos,obd.map,obd.sparkadv,gps.lon,gps.lat,gps.alt,trip.tripid,
1334513267.002264,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1334513268.002346,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513269.002431,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513270.002518,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513271.002608,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513272.002688,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513273.002786,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513274.003038,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513275.107019,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513276.107287,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513277.107511,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513278.107765,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513279.108016,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513280.108206,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513281.108445,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513282.108725,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513283.214575,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513284.214846,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513285.215094,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513286.215346,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513287.215580,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513288.215865,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513289.216146,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513290.216411,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513291.325068,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513292.325300,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513293.325562,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513294.325856,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513295.326117,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513296.326378,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513297.326632,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513298.326890,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513299.447521,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513300.447810,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513301.448075,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513302.448323,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513303.448583,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513304.448861,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513305.449100,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513306.449338,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513307.583239,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513308.583485,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513309.583623,1.000000,0.000000,58.000000,0.000000,0.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
